well_id,easting,northing,depth_tvd_m,porosity_pct,gamma_ray_api,bulk_density_gcc,formation_top_tvd,formation_base_tvd,formation_thickness_m,distance_to_usp_km,flag,flag_reason,porosity_imputation_method,density_imputation_method
JUT-01,134098.0,451726.0,1659.5,2.8231978014419465,43.6703,2.603417236276208,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use,knn,back_calc_from_porosity
JUT-01,134098.0,451726.0,1659.5,2.8340967599475837,42.8041,2.6032374034608647,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use,knn,back_calc_from_porosity
JUT-01,134098.0,451726.0,1659.5,2.834720416077002,42.7589,2.6032271131347295,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use,knn,back_calc_from_porosity
JUT-01,134098.0,451726.0,1659.5,2.828437242436618,43.2326,2.6033307854997956,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use,knn,back_calc_from_porosity
JUT-01,134098.0,451726.0,1659.5,1.806237128651501,44.7248,2.62019708737725,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use,knn,back_calc_from_porosity
JUT-01,134098.0,451726.0,1659.5,1.6903475215578065,46.8832,2.622109265894296,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use,knn,back_calc_from_porosity
JUT-01,134098.0,451726.0,1659.5,0.9964021077214392,49.04,2.633559365222596,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use,knn,back_calc_from_porosity
JUT-01,134098.0,451726.0,1659.5,0.9489370855609225,49.9183,2.634342538088245,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use,knn,back_calc_from_porosity
JUT-01,134098.0,451726.0,1659.5,1.6570468955999944,47.5234,2.6226587262226,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use,knn,back_calc_from_porosity
JUT-01,134098.0,451726.0,1659.5,1.7766976548368523,45.3009,2.6206844886951917,1659.5,1787.0,127.5,7.748433712693166,check,AH depth — deviated well needs TVD conversion before use,knn,back_calc_from_porosity
