well_id,depth_m,gr_api,phi_density,phi_sonic,phi_best,phi_method,perm_md,is_sand
BLT-01,1924.049999999388,64.78102,0.0,0.04097138576779024,0.0,density,0.001,True
BLT-01,1924.126199999388,63.2285,0.0,0.04898951310861425,0.0,density,0.001,True
BLT-01,1924.202399999388,62.69407,0.0,0.05607625468164792,0.0,density,0.001,True
BLT-01,1924.278599999388,62.77129,0.0015587878787877557,0.062430786516853944,0.0015587878787877557,density,0.001,True
BLT-01,1924.354799999388,62.97287,0.021773939393939422,0.06837715355805242,0.021773939393939422,density,0.10787792198690917,True
BLT-01,1924.430999999387,62.51448,0.038720606060606115,0.0731128838951311,0.038720606060606115,density,0.628242298417945,True
BLT-01,1924.507199999387,61.78849,0.04963818181818186,0.07681273408239696,0.04963818181818186,density,1.354158926657328,True
BLT-01,1924.583399999387,60.94621,0.0562781818181817,0.07967228464419479,0.0562781818181817,density,2.0013921091140436,True
BLT-01,1924.659599999387,60.11681,0.0604278787878787,0.08189108614232214,0.0604278787878787,density,2.499492305585207,True
BLT-01,1924.735799999387,59.14326,0.06165333333333336,0.08342382022471909,0.06165333333333336,density,2.6616016366908077,True
BLT-01,1924.811999999387,57.85681,0.06156242424242421,0.0844256179775281,0.06156242424242421,density,2.6493318608806473,True
BLT-01,1924.888199999387,56.28184,0.06076848484848473,0.08495850187265917,0.06076848484848473,density,2.5438406989501217,True
BLT-01,1924.964399999387,54.45234,0.059740606060605994,0.0850734831460674,0.059740606060605994,density,2.411645729418278,True
BLT-01,1925.040599999387,52.50736,0.05928060606060602,0.08486359550561798,0.05928060606060602,density,2.3540609870915645,True
BLT-01,1925.116799999387,51.09169,0.05971333333333322,0.08405475655430714,0.05971333333333322,density,2.4082046455023036,True
BLT-01,1925.192999999387,50.26973,0.06080969696969696,0.08259048689138576,0.06080969696969696,density,2.54924348356375,True
BLT-01,1925.269199999387,50.04124,0.06241696969696962,0.08046644194756558,0.06241696969696962,density,2.7662317634982,True
BLT-01,1925.345399999387,50.312,0.06425696969696977,0.07774801498127346,0.06425696969696977,density,3.0300341284471966,True
BLT-01,1925.421599999387,50.66552,0.06641515151515155,0.07461333333333335,0.06641515151515155,density,3.361196585906781,True
BLT-01,1925.497799999387,50.91455,0.0689618181818181,0.07137902621722846,0.0689618181818181,density,3.783477242277843,True
BLT-01,1925.573999999387,51.01425,0.07177515151515146,0.06825543071161047,0.07177515151515146,density,4.29156775313519,True
BLT-01,1925.650199999387,50.9485,0.07453696969696973,0.06558382022471905,0.07453696969696973,density,4.835006345862522,True
BLT-01,1925.726399999387,50.85974,0.07649818181818172,0.06365857677902624,0.07649818181818172,density,5.249015192004946,True
BLT-01,1925.802599999387,50.67233,0.07754363636363626,0.062118651685393246,0.07754363636363626,density,5.479574386591919,True
BLT-01,1925.878799999387,50.36319,0.07696121212121215,0.06110651685393256,0.07696121212121215,density,5.35027117796695,True
BLT-01,1925.954999999387,49.91233,0.07378181818181816,0.0608650936329588,0.07378181818181816,density,4.681892692464348,True
